SWV Data Trace - Watch
"0";"error_linear_vel";"6.5"
SWV Data Trace - History
"READ";"126.0";"";"672223";"8.002655 ms"
"READ";"122.20001";"";"1646748";"19.604143 ms"
"READ";"115.714294";"";"7215866";"85.903167 ms"
"READ";"104.33334";"";"12753316";"151.825190 ms"
"READ";"124.16666";"";"18324618";"218.150214 ms"
"READ";"99.0";"";"23860725";"284.056250 ms"
"READ";"86.66666";"";"29430307";"?"
"READ";"78.5";"";"34964610";"?"
"READ";"82.83334";"";"40527727";"?"
"READ";"67.33334";"";"46070978";"?"
"READ";"62.166656";"";"51633838";"614.688548 ms"
"READ";"65.83334";"";"57179814";"680.712071 ms"
"READ";"53.0";"";"62745236";"746.967095 ms"
"READ";"49.333344";"";"68288944";"812.963619 ms"
"READ";"41.0";"";"73859196";"?"
"READ";"7.5714417";"";"79401395";"?"
"READ";"45.42856";"";"84972487";"1.011577 s"
"READ";"42.333344";"";"90514601";"1.077555 s"
"READ";"43.5";"";"96088633";"1.143912 s"
"READ";"20.0";"";"101633517";"1.209923 s"
"READ";"23.0";"";"107210407";"?"
"READ";"14.8333435";"";"112746390";"?"
"READ";"8.3333435";"";"118316729";"1.408532 s"
"READ";"-4.200012";"";"123847549";"?"
"READ";"12.799988";"";"129419943";"1.540714 s"
"READ";"17.166656";"";"134949792";"1.606545 s"
"READ";"21.0";"";"140515760";"1.672807 s"
"READ";"7.799988";"";"146060266";"1.738813 s"
"READ";"-2.6666565";"";"151619682";"1.804996 s"
"READ";"-11.3333435";"";"157157258";"1.870920 s"
"READ";"-11.3333435";"";"162725158";"?"
"READ";"-3.3333435";"";"168257571";"2.003066 s"
"READ";"12.200012";"";"173831101";"?"
"READ";"21.666656";"";"179357718";"?"
"READ";"15.399994";"";"184928768";"2.201533 s"
"READ";"9.600006";"";"190470882";"2.267511 s"
"READ";"-4.3333435";"";"196035380";"2.333755 s"
"READ";"-8.1666565";"";"201572452";"2.399672 s"
